product_id,product,relationship,entity_type,entity_value,PRODUCT_ID,TITLE,BULLET_POINTS,DESCRIPTION,PRODUCT_TYPE_ID,PRODUCT_LE,Payment Link
1,Peloton Bike+,primary,equipment,fitness bike,1,Peloton Bike+,"Larger rotating screen, auto-resistance, advanced tech",The most advanced Peloton bike with enhanced features for a better ride.,bike+,advanced features,https://buy.stripe.com/test_14k7ucfuA2uy7Kg9AA
2,Peloton Bike,primary,equipment,fitness bike,2,Peloton Bike,"Compact, silent, adjustable resistance",The original Peloton bike with essential features for a great workout.,bike,basic features,https://buy.stripe.com/test_14k7ucfuA2uy7Kg9AA
3,Peloton Tread+,primary,equipment,fitness tread,3,Peloton Tread+,"High-definition screen, slat belt technology",Premium treadmill with advanced features and immersive workout experience.,tread+,advanced features,https://buy.stripe.com/test_8wM4i0828fhkggMfZ0
4,Peloton Tread,primary,equipment,fitness tread,4,Peloton Tread,"Sleek design, efficient running space",Standard treadmill designed for effective running workouts.,tread,basic features,https://buy.stripe.com/test_8wM4i0828fhkggMfZ0
5,Peloton Row,primary,equipment,fitness rower,5,Peloton Row,"Smooth resistance, ergonomic design",Rowing machine designed for a full-body workout with smooth performance.,row,ergonomic design,https://buy.stripe.com/test_14k8ygbek2uy7KgfYZ
6,Peloton Guide,primary,equipment,fitness guide,6,Peloton Guide,"AI-powered, personalized training",AI-powered device for personalized strength training guidance.,guide,AI features,https://buy.stripe.com/test_14k8ygbek2uy7KgfYZ
7,Peloton Apparel,accessory,apparel,fitness apparel,7,Peloton Apparel,"Stylish, comfortable, performance-oriented",High-quality fitness apparel designed for comfort and performance.,apparel,performance wear,https://buy.stripe.com/test_8wMbKs1DK7OSc0w9AD
8,Peloton Shoes,accessory,footwear,cycling shoes,8,Peloton Shoes,"Durable, comfortable, cleat-compatible",Cycling shoes designed for optimal performance and comfort.,footwear,cleat-compatible,https://buy.stripe.com/test_14k7ucfuA2uy7Kg9AA
9,Peloton Weights,accessory,weights,dumbbells,9,Peloton Weights,"Ergonomic, anti-slip grip",Dumbbells designed for strength training with a comfortable grip.,weights,ergonomic grip,https://buy.stripe.com/test_8wMbKs1DK7OSc0w9AD
10,Peloton Yoga Block,accessory,yoga,yoga block,10,Peloton Yoga Block,"Lightweight, supportive",Yoga block designed to support various yoga poses and exercises.,yoga,supportive,https://buy.stripe.com/test_14k8ygbek2uy7KgfYZ
11,Peloton Cycling Shoe Cleats,accessory,cycling,shoe cleats,11,Peloton Cycling Shoe Cleats,"Secure, easy to install",Shoe cleats designed for use with Peloton cycling shoes.,cycling,easy to install,https://buy.stripe.com/test_14k7ucfuA2uy7Kg9AA
12,Peloton Heart Rate Monitor,accessory,electronics,heart rate monitor,12,Peloton Heart Rate Monitor,"Accurate, comfortable strap",Heart rate monitor designed for accurate tracking during workouts.,electronics,accurate tracking,https://buy.stripe.com/test_8wMbKs1DK7OSc0w9AD
13,Peloton Wireless Earbuds,accessory,electronics,wireless earbuds,13,Peloton Wireless Earbuds,"High-quality sound, comfortable fit",Wireless earbuds designed for clear sound and comfort during workouts.,electronics,high-quality sound,https://buy.stripe.com/test_8wMbKs1DK7OSc0w9AD
14,Peloton Bike Mat,accessory,mat,bike mat,14,Peloton Bike Mat,"Non-slip, protective",Bike mat designed to protect floors and provide a non-slip surface.,mat,protective,https://buy.stripe.com/test_14k7ucfuA2uy7Kg9AA
15,Peloton Water Bottle,accessory,hydration,water bottle,15,Peloton Water Bottle,"Insulated, leak-proof",Water bottle designed to keep drinks cold and prevent leaks.,hydration,insulated,https://buy.stripe.com/test_8wMbKs1DK7OSc0w9AD
16,Peloton Resistance Bands,accessory,fitness tool,resistance bands,16,Peloton Resistance Bands,"Durable, multiple resistance levels",Resistance bands designed for strength training with varying resistance.,fitness tool,multiple resistance,https://buy.stripe.com/test_8wM4i0828fhkggMfZ0
